"borough","latitude","longitude"
"Altstadt-Lehel","48.136111","11.572222"
"Ludwigsvorstadt-Isarvorstadt","48.127252","11.564758"
"Maxvorstadt","48.15","11.569444"
"Schwabing-West","48.167222","11.586111"
"Au-Haidhausen","48.131944","11.588889"
"Sendling","48.121389","11.541389"
"Sendling-Westpark","48.122222","11.531944"
"Schwanthalerhöhe","48.1389","11.5417"
"Neuhausen-Nymphenburg","48.156944","11.516667"
"München-Moosach","48.183333","11.516667"
"Milbertshofen-Am Hart","48.198333","11.576389"
"Schwabing-Freimann","48.167222","11.586111"
"Bogenhausen","48.148056","11.616667"
"Berg am Laim","48.122222","11.627778"
"Trudering-Riem","48.116667","11.658333"
"Ramersdorf-Perlach","48.1028","11.625"
"Obergiesing","48.111111","11.594444"
"Untergiesing-Harlaching","48.092222","11.560556"
"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","48.089","11.519"
"Hadern","48.110556","11.465278"
"Pasing-Obermenzing","48.1458","11.4597"
"Aubing-Lochhausen-Langwied","48.158333","11.419444"
"Allach-Untermenzing","48.2","11.452778"
"Feldmoching-Hasenbergl","48.2111","11.5417"
"Laim","48.140278","11.497222"